[2019-06-24T14:07:50.119+0000][1][gc,metaspace ] GC(0) Metaspace: 11951K->11951K(1060864K)
[2019-06-24T14:07:50.119+0000][1][gc           ] GC(0) Pause Young (Allocation Failure) 68M->7M(247M) 52.220ms
[2019-06-24T14:07:50.119+0000][1][gc,cpu       ] GC(0) User=0.02s Sys=0.00s Real=0.05s
[2019-06-24T14:07:50.119+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.119+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0574358 seconds, Stopping threads took: 0.0050622 seconds
[2019-06-24T14:07:50.145+0000][1][safepoint    ] Application time: 0.0264542 seconds
[2019-06-24T14:07:50.145+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.145+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.145+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001530 seconds, Stopping threads took: 0.0000565 seconds
[2019-06-24T14:07:50.153+0000][1][safepoint    ] Application time: 0.0077828 seconds
[2019-06-24T14:07:50.153+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.153+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.153+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000889 seconds, Stopping threads took: 0.0000211 seconds
[2019-06-24T14:07:50.157+0000][1][safepoint    ] Application time: 0.0038490 seconds
[2019-06-24T14:07:50.157+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.157+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.157+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000897 seconds, Stopping threads took: 0.0000213 seconds
[2019-06-24T14:07:50.158+0000][1][safepoint    ] Application time: 0.0006340 seconds
[2019-06-24T14:07:50.158+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.158+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.158+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000793 seconds, Stopping threads took: 0.0000214 seconds
[2019-06-24T14:07:50.161+0000][1][safepoint    ] Application time: 0.0030916 seconds
[2019-06-24T14:07:50.161+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.161+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.161+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0001082 seconds, Stopping threads took: 0.0000447 seconds
[2019-06-24T14:07:50.165+0000][1][safepoint    ] Application time: 0.0038699 seconds
[2019-06-24T14:07:50.181+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.181+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.181+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0160556 seconds, Stopping threads took: 0.0159724 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Application time: 0.0003382 seconds
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Entering safepoint region: RevokeBias
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Leaving safepoint region
[2019-06-24T14:07:50.182+0000][1][safepoint    ] Total time for which application threads were stopped: 0.0000598 seconds, Stopping threads took: 0.0000139 seconds
